epoch,train_loss,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,lr
1,0.11569582745432853,0.08555063828825951,0.880187940485513,0.8429159620616131,0.8748668152794046,0.8560780760287109,0.8828480211940759,0.001
2,0.08075629031019552,0.08224754184484481,0.8903680501174628,0.8588855843947769,0.8693080920666215,0.8638394594942236,0.8911524555173219,0.0009997532801828658
3,0.068097080716065,0.06376382435361544,0.8867136517880448,0.8507189745320412,0.9083565469177741,0.8692816305222905,0.8909750894384295,0.0009990133642141358
4,0.06358168912785393,0.06250420932968458,0.8911511354737667,0.8547824564649878,0.903035512490683,0.8722977236124992,0.8945964940272183,0.00099778098230154
5,0.06054997268532004,0.05985229015350342,0.8856695379796398,0.8496679473429896,0.9076386718280397,0.8681926668287965,0.8900043031539707,0.000996057350657239
6,0.05978049827473504,0.06093620682756106,0.8833202819107283,0.847191992883505,0.9051264524948734,0.8655725845024103,0.8877699560454287,0.0009938441702975688
7,0.059287738161427635,0.058161038408676785,0.8903680501174628,0.8544150611090355,0.9105701096047565,0.8730489707705398,0.8943581701648811,0.0009911436253643444
8,0.056602149616394724,0.05903790791829427,0.8950665622552858,0.8591538544517762,0.9048305436959232,0.8762755159424631,0.8981879148913072,0.0009879583809693736
9,0.055888778982417925,0.05912676528096199,0.9065518141477421,0.8729356664025669,0.9103351686662979,0.8881756435026162,0.9087763602400046,0.0009842915805643154
10,0.05652345339102405,0.058491429686546324,0.8888018794048551,0.8528389013955546,0.909792297097243,0.871464337155365,0.8929175433077191,0.0009801468428384714
11,0.057152494309203966,0.056668665756781894,0.8890629078569564,0.8531730367514665,0.9105697661238523,0.8718511775949414,0.8931942134825255,0.0009755282581475767
12,0.05354445103023733,0.05460679680109024,0.8937614199947794,0.8579941940859611,0.9135012039005692,0.8767298993539696,0.8975528469913643,0.0009704403844771127
13,0.05236449241638184,0.05418701618909836,0.8880187940485513,0.8522270998572055,0.9107488914153818,0.8709293134354146,0.8922727752341743,0.0009648882429441257
14,0.05198832154273987,0.054520710557699206,0.8851474810754372,0.8495488517023857,0.9099707354269639,0.868164520767193,0.8896680363283954,0.0009588773128419905
15,0.05139693138854844,0.052586432298024496,0.9028974158183242,0.8679094012312158,0.9146996087752501,0.8855086863945181,0.9057858316904634,0.0009524135262330098
16,0.0503303203199591,0.05423649698495865,0.9031584442704255,0.8681210841905842,0.9172710785643872,0.8862238040959882,0.906171847765606,0.0009455032620941839
17,0.052426520149622645,0.0550564448038737,0.9039415296267294,0.8691253060356834,0.9151184837378965,0.8865761941693833,0.9067450060648065,0.0009381533400219318
18,0.05038257571203368,0.05305561969677607,0.9031584442704255,0.8682563010446489,0.91398207716642,0.885623946963283,0.9059756535044398,0.0009303710135019719
19,0.05020247724439417,0.05326373130083084,0.9005481597494127,0.8653619938442104,0.9100943885524684,0.8824273463103158,0.9034036336756534,0.0009221639627510076
20,0.05046291867537158,0.05289727573593458,0.9062907856956408,0.8731740442085445,0.9068666984958971,0.8872596592285404,0.9083099712864958,0.000913540287137281
21,0.049031229902591025,0.05425571923454602,0.9185591229444009,0.8986329153387835,0.8952687222853846,0.8969285310716923,0.9183865712143622,0.0009045084971874739
