feature_name,mi_score,mi_normalized,group_name
duration,0.9053142070770264,0.8717791438102722,duration
total_fiat,0.7015075087547302,0.6755219101905823,iat
total_biat,0.7670184373855591,0.7386061549186707,iat
min_fiat,0.9673992395401001,0.9315643906593323,iat
min_biat,0.8854131102561951,0.852615237236023,iat
max_fiat,1.0380054712295532,0.9995551705360413,iat
max_biat,1.0200085639953613,0.9822249412536621,iat
mean_fiat,0.8004983067512512,0.770845890045166,iat
mean_biat,0.7697198987007141,0.7412075400352478,iat
flowPktsPerSecond,1.0384674072265625,1.0,packet_count
flowBytesPerSecond,1.0179725885391235,0.9802643656730652,byte_count
min_flowiat,0.7154837846755981,0.6889805197715759,iat
max_flowiat,1.0200176239013672,0.9822336435317993,iat
mean_flowiat,1.0366731882095337,0.9982722401618958,iat
std_flowiat,0.9426842927932739,0.9077649116516113,iat
min_active,0.3807681202888489,0.36666351556777954,active_idle
mean_active,0.3657563030719757,0.3522077798843384,active_idle
max_active,0.38332945108413696,0.3691299855709076,active_idle
std_active,0.1570928990840912,0.15127378702163696,active_idle
min_idle,0.35152143239974976,0.3385002017021179,active_idle
mean_idle,0.3400821089744568,0.3274846374988556,active_idle
max_idle,0.3695465326309204,0.35585761070251465,active_idle
std_idle,0.15489409863948822,0.14915643632411957,active_idle
