epoch,train_loss,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,lr
1,1.1995143845677376,1.2811402214898004,0.07303628847037207,0.031102663837812353,0.13806484611279132,0.035753471334866685,0.014464922898333503,0.001
2,1.0274268299341203,0.9064323306083679,0.35002296738631145,0.2388282436276499,0.3341340116000747,0.21535797924570943,0.2809238172854591,0.0009997532801828658
3,0.886056649684906,0.7161716355217828,0.5562700964630225,0.46051267703002646,0.49705020361070107,0.39339999107743384,0.5210771922912014,0.0009990133642141358
4,0.7123459473252296,0.5923803879155053,0.5893431327514929,0.5077105132831767,0.529592897236818,0.44602899740060653,0.550799464335415,0.00099778098230154
5,0.5889440402388573,0.5243299007415771,0.6692696371152963,0.5992946202266778,0.5774903789738797,0.5221890903461615,0.6457826850860887,0.000996057350657239
6,0.5407032310962677,0.4607626100381215,0.7257694074414331,0.6756129816240829,0.6390131409088975,0.6192858807925541,0.7246324888415104,0.0009938441702975688
7,0.5003221854567528,0.4354883266819848,0.662379421221865,0.620965890555154,0.6391619552259409,0.547894554415137,0.652308933652016,0.0009911436253643444
8,0.49526435136795044,0.4373866518338521,0.7303628847037207,0.6791208459146962,0.6336238506931876,0.619054705233754,0.725529904872246,0.0009879583809693736
9,0.4714615449309349,0.40556472539901733,0.7593017914561323,0.7000671428432137,0.6624131327919287,0.6506263489281258,0.7555401094184625,0.0009842915805643154
10,0.4593773573637009,0.42209960023562115,0.7207165824529168,0.6250983522654359,0.6441617040559229,0.6029117848273908,0.7206211065759555,0.0009801468428384714
11,0.44718789458274844,0.41912393437491524,0.7519522278364722,0.6838062691488427,0.6569481955692875,0.6389804689273915,0.7546867122416727,0.0009755282581475767
12,0.4557195372879505,0.388194955057568,0.7289848415250344,0.6229602255023668,0.6547591486030202,0.6154790745184635,0.7274238073184932,0.0009704403844771127
13,0.4431473597884178,0.39875567621654934,0.7505741846577859,0.638125267357089,0.6524260198153832,0.6273575395843564,0.7510000898648151,0.0009648882429441257
14,0.4226407900452614,0.3679533402125041,0.7735415709692237,0.6707692048915215,0.687970904790095,0.6674358965972558,0.7751725468257424,0.0009588773128419905
15,0.42375743538141253,0.3864093886481391,0.7606798346348186,0.6964404508679928,0.6657989775434443,0.6501764965105974,0.755355253210653,0.0009524135262330098
16,0.41519006341695786,0.36451782451735604,0.7818098300413413,0.6904326741419013,0.685896603230446,0.6681947584129568,0.7756656390120643,0.0009455032620941839
17,0.40282798409461973,0.3716787530316247,0.7762976573265963,0.6792026109013249,0.6920122317480051,0.6668911999793861,0.7779403090783455,0.0009381533400219318
18,0.39475891515612604,0.3674879835711585,0.7657326596233348,0.6691147422332824,0.6895783426058468,0.6636405122660729,0.7651230588856274,0.0009303710135019719
19,0.3880837634205818,0.36279772056473625,0.7997243913642628,0.7149107685286502,0.6996835951780991,0.6930019194691959,0.7941162241869635,0.0009221639627510076
20,0.3746457166969776,0.34880564941300285,0.7675700505282499,0.6774020700000569,0.7183725506567207,0.6715922531252899,0.7688072929918528,0.000913540287137281
21,0.3713563933968544,0.34804890553156537,0.7877813504823151,0.6995053030570562,0.7198276889377343,0.6943634117991437,0.7939417163935376,0.0009045084971874739
22,0.38090569600462915,0.34912796484099495,0.8061552595314653,0.6937266862355833,0.7029899944385564,0.6901197024422512,0.7996615193575536,0.0008950775061878453
23,0.3716173149645329,0.373912728495068,0.763435920992191,0.6767516074683746,0.6985492732648519,0.6637033255014524,0.7677584433797152,0.0008852566213878948
24,0.36983360797166825,0.34496694140964085,0.7790537436839687,0.6859805280537195,0.708014316283927,0.6813058282072353,0.7838594531225171,0.0008750555348152299
25,0.3595158368349075,0.3238515986336602,0.802939825447864,0.714522659108467,0.7340155578270865,0.716422125645776,0.807806523974377,0.0008644843137107058
26,0.3573281057178974,0.33245356215371025,0.757923748277446,0.6988737732725244,0.7124713008342743,0.6755737553916802,0.767682384037249,0.0008535533905932738
27,0.3496116571128368,0.3299458490477668,0.7978870004593477,0.6998235972215292,0.7214847898347323,0.7024556851972021,0.8026005962032655,0.0008422735529643445
28,0.3401513170450926,0.3277764270702998,0.7960496095544327,0.6912200289229513,0.7348734716291605,0.699897492017467,0.798384869256213,0.000830655932661826
29,0.3429297011345625,0.3540669514073266,0.7776757005052825,0.6898146749651151,0.7204705070004492,0.6893481530001984,0.7776551474407754,0.000818711994874345
30,0.3424846939742565,0.32573652929729885,0.7942122186495176,0.6848730808250169,0.7285690989834837,0.6977173737599405,0.7926868544027725,0.0008064535268264884
31,0.3279249623417854,0.30918093191252816,0.8116674322462104,0.7090542586979096,0.7407340429582214,0.7124515015438838,0.8167301504296146,0.0007938926261462368
32,0.329750419408083,0.30666524171829224,0.8139641708773542,0.721749017022354,0.7501480377954933,0.7194603034773464,0.8201804010271878,0.0007810416889260655
33,0.32482900060713293,0.3212920046514935,0.7854846118511714,0.6797926724923822,0.7292168033394957,0.6850068189781708,0.7845092197744994,0.0007679133974894984
34,0.32080889083445074,0.287370502948761,0.8116674322462104,0.7155240147343712,0.7577336029407872,0.7267755701426132,0.8163282271191512,0.0007545207078751858
35,0.3057520166039467,0.2905322031842338,0.8043178686265503,0.7104494468001677,0.756100819586071,0.7108304175021819,0.8089671129621878,0.0007408768370508578
36,0.3058344852179289,0.31723103589481777,0.7680293982544787,0.7219168109505665,0.6979803746714011,0.6729246725676378,0.777870358667585,0.0007269952498697736
37,0.30418083630502224,0.299505568212933,0.8102893890675241,0.7098140117582676,0.754753592092089,0.7150864323383397,0.811058086806149,0.0007128896457825365
