variant,latency_ms_bs1,throughput_bs32,throughput_bs128,throughput_bs256,params,model_size_mb,flops,device
early_exit_disabled,5.196725600049831,5821.602803363177,26361.032463744552,29532.78669663361,58938,0.22483062744140625,2230144.0,cuda
early_exit_enabled,5.978997100028209,5096.848077583542,21362.8603645245,26922.3589654758,58938,0.22483062744140625,2230144.0,cuda
