variant,latency_ms_bs1,throughput_bs32,throughput_bs128,throughput_bs256,params,model_size_mb,flops,device
early_exit_disabled,5.350836199941114,5795.739660813042,25988.802888333663,27768.666184914826,58536,0.223297119140625,1159808.0,cuda
early_exit_enabled,3.1764850999461487,5310.960911402177,20683.271889744945,25629.679167707796,58536,0.223297119140625,1159808.0,cuda
