,precision,recall,f1-score,support
FREENET,0.14713896457765668,0.9908256880733946,0.25622775800711745,109.0
I2P,0.6808654496281271,0.685500340367597,0.6831750339213026,1469.0
TOR,0.7699805068226121,0.44886363636363635,0.5671213208901651,880.0
VPN,0.9698216735253772,0.970487302676733,0.9701543739279588,1457.0
ZERONET,0.8485294117647059,0.7084100675260896,0.7721646035463365,1629.0
accuracy,0.7355699855699855,0.7355699855699855,0.7355699855699855,0.7355699855699855
macro avg,0.6832672012636959,0.76081740700149,0.6497686180585761,5544.0
weighted avg,0.809721668242742,0.7355699855699855,0.7579276289369649,5544.0
