feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
duration,duration,0.87086666,0.8438619,0.0015291288,0.7348912
max_biat,iat,0.9089331,0.74782145,0.024446515,0.6797197
std_flowiat,iat,0.9294472,0.664899,0.009660383,0.61798847
flowBytesPerSecond,byte_count,0.974725,0.6169984,0.00652421,0.6014038
flowPktsPerSecond,packet_count,0.91696775,0.60624534,0.004216261,0.5559074
total_fiat,iat,0.87432146,0.57965654,0.0137964245,0.50680614
min_biat,iat,0.6939862,0.7220687,0.12658231,0.5011057
mean_biat,iat,0.9142492,0.5341006,0.04865981,0.48830104
mean_flowiat,iat,0.9277007,0.52532196,0.010009474,0.48734155
max_flowiat,iat,1.0,0.4541215,0.050387893,0.4541215
mean_fiat,iat,0.9212503,0.4486746,0.04505018,0.41334158
total_biat,iat,0.8007109,0.47333437,0.06897762,0.379004
min_fiat,iat,0.67230076,0.5637245,0.1966897,0.3789924
max_active,active_idle,0.43470782,0.82213,0.012424151,0.35738635
min_flowiat,iat,0.66559446,0.48175058,0.0943658,0.32065052
min_idle,active_idle,0.38227978,0.78072804,0.033492114,0.29845655
max_idle,active_idle,0.4098695,0.5901915,0.029546738,0.24190149
mean_idle,active_idle,0.38651696,0.5760262,0.013273056,0.2226439
mean_active,active_idle,0.4016621,0.46621817,0.00062807376,0.18726218
min_active,active_idle,0.4169767,0.43599352,0.036425214,0.18179913
max_fiat,iat,0.9528814,0.16778803,0.010192129,0.1598821
std_active,active_idle,0.18234028,0.7683865,0.12247221,0.14010781
std_idle,active_idle,0.21258119,0.5472277,0.2893678,0.11633031
