feature_name,mi_score,mi_normalized,group_name
duration,0.7290356755256653,0.8708666563034058,duration
total_fiat,0.7319278120994568,0.874321460723877,iat
total_biat,0.670305609703064,0.800710916519165,iat
min_fiat,0.5628085732460022,0.6723007559776306,iat
min_biat,0.5809623003005981,0.693986177444458,iat
max_fiat,0.7976933121681213,0.952881395816803,iat
max_biat,0.7609025239944458,0.9089331030845642,iat
mean_fiat,0.771213710308075,0.9212502837181091,iat
mean_biat,0.7653528451919556,0.9142491817474365,iat
flowPktsPerSecond,0.7676286697387695,0.9169677495956421,packet_count
flowBytesPerSecond,0.8159794807434082,0.9747250080108643,byte_count
min_flowiat,0.5571944713592529,0.6655944585800171,iat
max_flowiat,0.8371381163597107,1.0,iat
mean_flowiat,0.7766135931015015,0.9277006983757019,iat
std_flowiat,0.778075635433197,0.9294471740722656,iat
min_active,0.3490670919418335,0.4169766902923584,active_idle
mean_active,0.33624666929244995,0.40166211128234863,active_idle
max_active,0.3639104962348938,0.4347078204154968,active_idle
std_active,0.15264399349689484,0.18234027922153473,active_idle
min_idle,0.32002097368240356,0.38227978348731995,active_idle
mean_idle,0.32356807589530945,0.3865169584751129,active_idle
max_idle,0.3431173861026764,0.4098694920539856,active_idle
std_idle,0.17795981466770172,0.21258118748664856,active_idle
