epoch,train_loss,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,lr
1,1.1529567175441318,1.0456696152687073,0.3213070115724983,0.39723258928959054,0.29859865735111946,0.25125770423098054,0.29327857420116016,0.001
2,1.0204857918951247,0.9517888923486074,0.2825051055139551,0.428767886757485,0.32617100005918165,0.2604100013802387,0.2654303300845641,0.0009997532801828658
3,0.9413993270308884,0.8480429649353027,0.39210347174948945,0.45278850407381743,0.4163427464574889,0.38995354944089333,0.3814517581128328,0.0009990133642141358
4,0.860293052814625,0.7640385329723358,0.47991831177671884,0.47119038952746223,0.49490895285932085,0.4026285645212612,0.44632077750890464,0.00099778098230154
5,0.7870581922707734,0.740840087334315,0.34921715452688906,0.3940001130262355,0.43970316109236984,0.31773221449322947,0.3245282045475606,0.000996057350657239
6,0.714672377815953,0.5937023858229319,0.4479237576582709,0.48420741232866443,0.5039207517028231,0.43362827614093025,0.4731326576761351,0.0009938441702975688
7,0.6584880307868675,0.5519012212753296,0.5234853641933288,0.5699289723053923,0.5698229299456042,0.4876796351895371,0.5004985005054499,0.0009911436253643444
8,0.6398725266809817,0.6097239156564077,0.5711368277739959,0.6045945138321992,0.5139682172238027,0.4902931246127625,0.5456009527622734,0.0009879583809693736
9,0.6373521398614954,0.5221657852331797,0.5731790333560245,0.561962819981747,0.6093366756815293,0.5384942098454867,0.5633273705163632,0.0009842915805643154
10,0.5845997123806564,0.49893968800703686,0.6133424098025868,0.5731596217997562,0.6488746090213526,0.5762072334340672,0.6078652366705082,0.0009801468428384714
11,0.5706775519582961,0.4661580224831899,0.5990469707283866,0.5704708642733649,0.6447320247789763,0.5634203201651569,0.5939422519213715,0.0009755282581475767
12,0.5531237456533644,0.4730335871378581,0.5861130020422056,0.5906406686436345,0.6142918657933428,0.5538344439725236,0.5908987919312843,0.0009704403844771127
13,0.5568923199618304,0.4670836329460144,0.5861130020422056,0.579168018819075,0.6358959024747388,0.5529729037602934,0.5826645546403608,0.0009648882429441257
14,0.5342024079075566,0.45956001182397205,0.5112321307011573,0.5527581830416788,0.6101805924011979,0.5016510546730626,0.5273510595457375,0.0009588773128419905
15,0.534513905092522,0.4494832009077072,0.5786249149081008,0.5707117308121578,0.6344552217713023,0.5436466412049236,0.5666549484814846,0.0009524135262330098
16,0.5130898323323991,0.4322644869486491,0.6201497617426821,0.5960929502441522,0.6353143475478393,0.5850126663654028,0.6152018456846221,0.0009455032620941839
17,0.5032515790727403,0.4448750664790471,0.6031313818924439,0.590813158655428,0.6334489849185818,0.5709562188718237,0.6012333454796572,0.0009381533400219318
18,0.48862102186238326,0.41452792783578235,0.6324029952348537,0.6278581538961774,0.6715070120719934,0.6120650703491296,0.6276289072523195,0.0009303710135019719
19,0.4740250430725239,0.4073825279871623,0.6589516678012253,0.6232927810832313,0.6630468846716807,0.6270853677311182,0.6628011172177983,0.0009221639627510076
20,0.46929574343893266,0.38325729966163635,0.6501021102791015,0.6267631144697443,0.6853236345250492,0.6235990665998928,0.6482251318592934,0.000913540287137281
