variant,latency_ms_bs1,throughput_bs32,throughput_bs128,throughput_bs256,params,model_size_mb,flops,device
early_exit_disabled,5.536481500021182,5294.059354079245,11778.57385507354,12248.782143330258,66542,0.25383758544921875,6013184.0,cuda
early_exit_enabled,6.45222710003145,5234.641154188829,10911.781654748827,11838.484230196413,66542,0.25383758544921875,6013184.0,cuda
