,precision,recall,f1-score,support
Non-Tor,0.9955031206791839,0.9965204118590573,0.9960115065128156,77308.0
NonVPN,0.8970253249363527,0.8014965579167914,0.8465745629287724,16705.0
Tor,0.6105047748976807,0.9188911704312115,0.7336065573770492,974.0
VPN,0.8349081212683322,0.8977747304120177,0.8652009371057848,16043.0
accuracy,0.9522291272629019,0.9522291272629019,0.9522291272629019,0.9522291272629019
macro avg,0.8344853354453874,0.9036707176547695,0.8603483909811054,111030.0
weighted avg,0.9541045298278512,0.9522291272629019,0.9523249305601301,111030.0
